Unique_ID,Name,Est,Dis1,Re1,Dis2,Re2,Dis3,Re3,Dis4,Re4,County,AltCounty1,AltCounty2,FormerName1,NameChangeDate1,FormerName2,NameChangeDate2,FormerName3,NameChangeDate3,FormerName4,NameChangeDate4,FirstRecentNameChange_OrAlternate,SecondMostRecent_OrAlternate,ThirdMostRecent_OrAlternate,GeocodeLocator,GeocodeStatus,GeocodeScore,GeocodeMatchFull\,GeocodeName,GeocodeCounty,Latitude,Longitude
,TEXICO,1902,,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,34.3886868,-103.0513351
,PINEGROVE,1868,1912,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,38.6782485,-119.1240401
,MARION,1871,1962,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,44.7488889,-122.9369444
,FLORENCE,1888,,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,46.6315897,-114.0789959
,MARKILLIE,1901,1906,,,,,,,,,,,,,,,,,,,,,,,Unmatched,,,,,,
,MEHAMAH,1877,1881,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,44.790122,-122.6192523
,BEATRICE,1884,1955,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,40.6698506,-124.2025577
,ARGUS,1897,1899,,,,,,,,,,,,,,,,,,,,,,,Unmatched,,,,,,
,MENTONE,1893,,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,31.7062015,-103.5980064
,FORT STEVENS,1857,1858,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,46.9414877,-122.5895686
,TRAER,1883,1971,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,39.9283378,-100.666261
,COON CREEK,1856,1860,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,39.2257353,-120.598819
,FREEMAN,1889,1909,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,35.6016215,-117.9028468
,LAUREL,1891,1900,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,48.8551117,-122.4898891
,SUNLIGHT,1897,1912,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,39.4019268,-107.3217197
,LAPUSH,1883,1960,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,47.9086834,-124.6366039
,KING,1894,1899,,,,,,,,,,,,,,,,,,,,,,,Unmatched,,,,,,
,BREIDABLIK,1892,1906,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,47.7998159,-122.6618189
,MELMONT,1902,1915,,,,,,,,,,,,,,,,,,,,,,,Unmatched,,,,,,
,FOREST CITY,1884,1943,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,45.0027608,-100.3004082
,LIEB,1902,1921,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,36.008092,-101.4451642
,HAYWARDS,1880,1911,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,37.6688205,-122.0807964
,PETERS,1902,1904,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,48.2455344,-110.5646665
,DARRAH,1880,1907,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,37.5179921,-119.8351676
,SWALLOWS,1892,1947,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,38.3022246,-104.8602592
,BRADDOCK,1884,1890,,,,,,,,,,,,,,,,,,,,,,,Unmatched,,,,,,
,MAYFIELD,1855,1930,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,37.4232728,-122.1438529
,LAS POSAS,1889,1897,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,34.2272268,-119.0689925
,MINNEHAHA,1880,1910,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,34.1633634,-112.4073906
,MOUNTAINDALE,1880,1899,,,,,,,,,,,,,,,,,,,,,,,Unmatched,,,,,,
,THURMAN,1888,1955,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,39.5960969,-103.217439
,ATHOL,1895,,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,47.9443488,-116.7001966
,BURDETT,1888,1937,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,40.3655408,-102.9510446
,BURNT WOODS,1879,1883,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,45.6748336,-123.2859477
,SODAVILLE,1871,1933,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,44.4845677,-122.8717552
,ELLENSBURGH,1873,1894,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,46.9965144,-120.5478474
,BLYBACH,1892,1896,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,45.6970533,-123.7915176
,BARSTOW,1891,,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,31.4599059,-103.3933258
,DEWEY,1898,1918,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,48.425103,-122.6085032
,ELTOPIA,1902,,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,46.4587486,-119.0172292
,AMAZON,1888,1931,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,46.320207,-112.1072224
,KEYSTONE,1869,1872,,,,,,,,,,,,,,,,,,,,,,,Unmatched,,,,,,
,BLY,1883,,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,42.3976509,-121.0416541
,BALLARD,1886,1887,,,,,,,,,,,,,,,,,,,,,,,Unmatched,,,,,,
,DELAY,1886,1886,,,,,,,,,,,,,,,,,,,,,,,Unmatched,,,,,,
,SKULLSPRING,1902,1927,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,43.4984925,-117.7912895
,HOUSKIN,1899,1911,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,47.2346825,-111.0527322
,ORA,1896,1910,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,44.0860247,-111.5332912
,WILDER,1886,1939,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,47.6144387,-108.4520823
,TRINIDAD,1899,1962,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,47.2298532,-120.0006111
,SPRINGVILLE,1860,1873,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,45.5859501,-122.7734325
,LITTLE STONY,1879,1891,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,39.3018307,-122.4924856
,CROOK CITY,1877,1895,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,44.4413732,-103.6335274
,PETERSBURGH,1890,1905,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,39.6469319,-105.025261
,LISBON,1886,1886,,,,,,,,,,,,,,,,,,,,,,,Unmatched,,,,,,
,FIELDBROOK,1902,1932,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,40.9565162,-124.0331192
,WILEY,1883,1887,,,,,,,,,,,,,,,,,,,,,,,Unmatched,,,,,,
,SANDERS,1879,1894,,,,,,,,,,,,,,,,,,,,,,,Unmatched,,,,,,
,FAIRVIEW,1894,,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,39.6269065,-111.4387992
,NEWPORT,1884,1887,,,,,,,,,,,,,,,,,,,,,,,Unmatched,,,,,,
,DRUM VALLEY,1877,1879,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,36.6452263,-119.1653909
,PETALUMA,1852,,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,38.232417,-122.6366524
,METZ,1888,1933,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,36.363855,-121.2335357
,WHITE EARTH,1876,1880,,,,,,,,,,,,,,,,,,,,,,,Unmatched,,,,,,
,OSWEGO,1889,1895,,,,,,,,,,,,,,,,,,,,,,,Unmatched,,,,,,
,HELIX,1885,1909,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,32.7544957,-117.0375287
,PINKERTON,1881,1882,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,36.0089252,-104.7066582
,GREENVILLE,1888,1888,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,36.592803,-103.6163447
,CARP,1888,1889,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,39.7377053,-115.8608883
,SKYE,1886,1911,,,,,,,,,,,,,,,,,,,,,,,Unmatched,,,,,,
,HILLYARD,1894,1910,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,47.7007255,-117.3663252
,CUCHILLO,1883,,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,33.2359051,-107.3605893
,SANDERS,1901,1973,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,47.1062886,-116.7962767
,SELLAR,1888,1918,,,,,,,,,,,,,,,,,,,,,,,Unmatched,,,,,,
,MILTON,1883,1883,,,,,,,,,,,,,,,,,,,,,,,Unmatched,,,,,,
,KLINKNERVILLE,1887,1888,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,37.8088166,-122.2685804
,PAMPA,1892,,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,35.5358771,-100.9604203
,SPRAGUE,1881,1881,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,38.7915737,-119.5982257
,SIGNAL PORT,1888,1890,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,38.8290768,-123.6155687
,WOODSTOCK,1891,1912,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,45.4790082,-122.6084269
,HENSLER,1882,1990,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,47.2602712,-101.08487
,DRIFTWOOD,1880,1888,,,,,,,,,,,,,,,,,,,,,,,Unmatched,,,,,,
,BAYLES,1884,1948,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,40.9443161,-122.4247355
,RALSTON,1870,1871,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,32.3259161,-108.7383876
,ARANGEE,1891,1898,,,,,,,,,,,,,,,,,,,,,,,Unmatched,,,,,,
,SUPERIOR,1902,,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,33.2785996,-111.1116197
,ZILAR,1892,1894,,,,,,,,,,,,,,,,,,,,,,,Unmatched,,,,,,
,BRUSH,1882,,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,40.2588686,-103.6238367
