Unique_ID,Name,Est,Dis1,Re1,Dis2,Re2,Dis3,Re3,Dis4,Re4,County,AltCounty1,AltCounty2,FormerName1,NameChangeDate1,FormerName2,NameChangeDate2,FormerName3,NameChangeDate3,FormerName4,NameChangeDate4,FirstRecentNameChange_OrAlternate,SecondMostRecent_OrAlternate,ThirdMostRecent_OrAlternate,GeocodeLocator,GeocodeStatus,GeocodeScore,GeocodeMatchFull\,GeocodeName,GeocodeCounty,Latitude,Longitude
,ABBEY,1902,1911,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,42.631571,-114.7561615
,ABBEYVILLE,1882,1884,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,38.7774946,-106.4922498
,ABBOTT,1881,1966,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,36.2922517,-104.2369249
,ABBOTT,1887,1926,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,39.8472222,-103.4186111
,ABERDEEN,1884,,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,46.9745657,-123.8205392
,ABERDEEN,1889,1942,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,35.0378299,-100.1492797
,ABERDEEN,1890,1891,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,38.545825,-106.925321
,ABERDEEN,1892,1894,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,44.5679007,-122.7853656
,ABERDEEN,1896,1934,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,36.9779897,-118.2534321
,ABEYTON,1884,1890,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,37.3172387,-104.7519341
,ABIQUIU,1852,,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,36.207241,-106.3186397
,ABRAHAM,1899,1954,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,39.3966197,-112.7180077
,ABSAROKEE,1892,,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,45.5204982,-109.4429444
,ACADEMY,1876,1951,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,36.8874502,-119.538745
,ACAMPO,1872,,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,38.1746398,-121.2785588
,ACEQUIA,1874,1900,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,39.5235994,-105.0280398
,ACHILLES,1879,1951,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,39.7119477,-100.8362626
