Unique_ID,Name,Est,Dis1,Re1,Dis2,Re2,Dis3,Re3,Dis4,Re4,County,AltCounty1,AltCounty2,FormerName1,NameChangeDate1,FormerName2,NameChangeDate2,FormerName3,NameChangeDate3,FormerName4,NameChangeDate4,FirstRecentNameChange_OrAlternate,SecondMostRecent_OrAlternate,ThirdMostRecent_OrAlternate,GeocodeLocator,GeocodeStatus,GeocodeScore,GeocodeMatchFull\,GeocodeName,GeocodeCounty,Latitude,Longitude,year,frequency
Abbey,Abbey,1902,1911,,,,,,,,,,,,,,,,,,,,,,,Matched,100,"Abbey, Twin Falls, ID",,,42.631571,-114.756162,1847,2
Abbeyville,Abbeyville,1882,1884,,,,,,,,,,,,,,,,,,,,,,,Matched,100,"Abbeyville, Gunnison, CO",,,38.777495,-106.49225,1848,1
Abbott,Abbott,1881,1966,,,,,,,,,,,,,,,,,,,,,,,Matched,100,"Abbott, Colfax, NM",,,36.292252,-104.236925,1849,1
Aberdeen,Aberdeen,1896,1934,,,,,,,,,,,,,,,,,,,,,,,Matched,100,"Aberdeen, Inyo, CA",,,36.97799,-118.253432,1850,21
Aberdeen,Aberdeen,1890,1891,,,,,,,,,,,,,,,,,,,,,,,Matched,100,"Aberdeen, Gunnison, CO",,,38.545825,-106.925321,1851,27
Aberdeen,Aberdeen,1884,,,,,,,,,,,,,,,,,,,,,,,,Matched,100,"Aberdeen, Grays Harbor, WA",,,46.974566,-123.820539,1852,23
Abiquiu,Abiquiu,1852,,,,,,,,,,,,,,,,,,,,,,,,Matched,100,"Abiquiu, Rio Arriba, NM",,,36.207241,-106.31864,1853,13
Abraham,Abraham,1899,1954,,,,,,,,,,,,,,,,,,,,,,,Matched,100,"Abraham, Millard, UT",,,39.39662,-112.718008,1854,16
Absarokee,Absarokee,1892,,,,,,,,,,,,,,,,,,,,,,,,Matched,100,"Absarokee, Stillwater, MT",,,45.520498,-109.442944,1855,17
Academy,Academy,1876,1951,,,,,,,,,,,,,,,,,,,,,,,Matched,100,"Academy, Fresno, CA",,,36.88745,-119.538745,1856,9
Acampo,Acampo,1872,,,,,,,,,,,,,,,,,,,,,,,,Matched,100,"Acampo, San Joaquin, CA",,,38.174918,-121.278559,1857,3
Acequia,Acequia,1874,1900,,,,,,,,,,,,,,,,,,,,,,,Matched,100,"Acequia, Douglas, CO",,,39.523599,-105.02804,1858,8
Acme,Acme,1885,1916,,,,,,,,,,,,,,,,,,,,,,,Matched,100,"Acme, Lane, OR",,,43.979844,-124.060951,1859,7
Acme,Acme,1887,,,,,,,,,,,,,,,,,,,,,,,,Matched,100,"Acme, Whatcom, WA",,,48.716103,-122.202937,1860,8
Acton,Acton,1887,,,,,,,,,,,,,,,,,,,,,,,,Matched,100,"Acton, Los Angeles, CA",,,34.468327,-118.195353,1861,1
Acton,Acton,1879,1888,,,,,,,,,,,,,,,,,,,,,,,Matched,100,"Acton, Morrow, OR",,,45.598461,-119.419187,1862,3
Ada,Ada,1896,1917,,,,,,,,,,,,,,,,,,,,,,,Matched,100,"Ada, Blaine, MT",,,48.402218,-109.432131,1863,10
Ada,Ada,1881,1882,,,,,,,,,,,,,,,,,,,,,,,Matched,100,"Ada, Rosebud, MT",,,46.294159,-106.859766,1864,4
Ada,Ada,1892,1957,,,,,,,,,,,,,,,,,,,,,,,Matched,100,"Ada, Lane, OR",,,43.874842,-124.045113,1865,7
Adairville,Adairville,1877,1879,,,,,,,,,,,,,,,,,,,,,,,Matched,100,"Adairville, Kane, UT",,,37.116651,-111.915733,1866,6
Adamana,Adamana,1896,1969,,,,,,,,,,,,,,,,,,,,,,,Matched,100,"Adamana, Apache, AZ",,,34.976692,-109.822338,1867,18
Adams,Adams,1883,,,,,,,,,,,,,,,,,,,,,,,,Matched,100,"Adams, Umatilla, OR",,,45.767354,-118.562473,1868,21
Adamsville,Adamsville,1884,1885,,,,,,,,,,,,,,,,,,,,,,,Matched,100,"Adamsville, Morrow, OR",,,45.179304,-119.711686,1869,13
Adamsville,Adamsville,1868,1954,,,,,,,,,,,,,,,,,,,,,,,Matched,100,"Adamsville, Beaver, UT",,,38.258303,-112.793835,1870,13
Addy,Addy,1890,,,,,,,,,,,,,,,,,,,,,,,,Matched,100,"Addy, Stevens, WA",,,48.358106,-117.837831,1871,36
Adel,Adel,1896,1930,,,,,,,,,,,,,,,,,,,,,,,Matched,100,"Adel, Cascade, MT",,,47.027724,-111.623865,1872,23
Adel,Adel,1896,,,,,,,,,,,,,,,,,,,,,,,,Matched,100,"Adel, Lake, OR",,,42.177388,-119.898558,1873,28
Adelaida,Adelaida,1877,1936,,,,,,,,,,,,,,,,,,,,,,,Matched,100,"Adelaida, San Luis Obispo, CA",,,35.645526,-120.873514,1874,37
Adelaide,Adelaide,1894,1901,,,,,,,,,,,,,,,,,,,,,,,Matched,100,"Adelaide, Fremont, CO",,,38.559995,-105.090817,1875,25
Adelaide,Adelaide,1878,1879,,,,,,,,,,,,,,,,,,,,,,,Matched,100,"Adelaide, Lake, CO",,,39.247212,-106.258079,1876,29
Adelaide,Adelaide,1886,1931,,,,,,,,,,,,,,,,,,,,,,,Tied Match,100,"Adelaide, King, WA",,,47.330933,-122.360401,1877,18
Adin,Adin,1876,,,,,,,,,,,,,,,,,,,,,,,,Matched,100,"Adin, Modoc, CA",,,41.197391,-120.943856,1878,46
Adna,Adna,1894,,,,,,,,,,,,,,,,,,,,,,,,Matched,100,"Adna, Lewis, WA",,,46.628992,-123.061243,1879,25
Adobetown,Adobetown,1875,1907,,,,,,,,,,,,,,,,,,,,,,,Matched,100,"Adobetown, Madison, MT",,,45.317981,-111.983037,1880,22
Advance,Advance,1890,1890,,,,,,,,,,,,,,,,,,,,,,,Matched,100,"Advance, Tulare, CA",,,36.51578,-118.902601,1881,23
Afognak,Afognak,1888,1965,,,,,,,,,,,,,,,,,,,,,,,Matched,100,"Afognak, Kodiak Island, AK",,,58.022124,-152.765226,1882,36
Afton,Afton,1887,1923,,,,,,,,,,,,,,,,,,,,,,,Matched,100,"Afton, Glenn, CA",,,39.419886,-121.966364,1883,31
Afton,Afton,1888,,,,,,,,,,,,,,,,,,,,,,,,Matched,100,"Afton, Lincoln, WY",,,42.724928,-110.931869,1884,51
Agate,Agate,1882,,,,,,,,,,,,,,,,,,,,,,,,Matched,100,"Agate, Elbert, CO",,,39.461651,-103.942181,1885,20
Agate,Agate,1901,1907,,,,,,,,,,,,,,,,,,,,,,,Matched,100,"Agate, Jackson, OR",,,42.42207,-122.885319,1886,45
Agatha,Agatha,1896,1932,,,,,,,,,,,,,,,,,,,,,,,Matched,100,"Agatha, Nez Perce, ID",,,46.510728,-116.576815,1887,50
Ager,Ager,1888,1940,,,,,,,,,,,,,,,,,,,,,,,Matched,100,"Ager, Siskiyou, CA",,,41.866253,-122.460577,1888,49
Agness,Agness,1897,,,,,,,,,,,,,,,,,,,,,,,,Matched,100,"Agness, Curry, OR",,,42.556498,-124.068978,1889,44
Agnew,Agnew,1884,1967,,,,,,,,,,,,,,,,,,,,,,,Matched,100,"Agnew, Santa Clara, CA",,,37.394663,-121.959125,1890,78
Agua Caliente,Agua Caliente,1888,1960,,,,,,,,,,,,,,,,,,,,,,,Matched,100,"Agua Caliente, Maricopa, AZ",,,32.985324,-113.324354,1891,55
Agua Caliente,Agua Caliente,1886,1951,,,,,,,,,,,,,,,,,,,,,,,Matched,100,"Agua Caliente, Sonoma, CA",,,0,0,1892,56
Agua Fria,Agua Fria,1851,1862,,,,,,,,,,,,,,,,,,,,,,,Matched,100,"Agua Fria, Mariposa, CA",,,37.484938,-120.020176,1893,36
Agua Negra,Agua Negra,1868,1892,,,,,,,,,,,,,,,,,,,,,,,Matched,100,"Agua Negra, Mora, NM",,,36.03531,-105.388069,1894,33
Aguanga,Aguanga,1901,,,,,,,,,,,,,,,,,,,,,,,,Matched,100,"Aguanga, Riverside, CA",,,33.442809,-116.865024,1895,44
Aguilar,Aguilar,1890,,,,,,,,,,,,,,,,,,,,,,,,Matched,100,"Aguilar, Las Animas, CO",,,37.402793,-104.653319,1896,36
Ahsahka,Ahsahka,1899,,,,,,,,,,,,,,,,,,,,,,,,Matched,100,"Ahsahka, Clearwater, ID",,,46.502124,-116.32403,1897,31
