year,frequency,frequency_discontinued
1847,2,0
1848,0,0
1849,14,0
1850,46,6
1851,113,8
1852,83,23
1853,54,20
1854,98,16
1855,81,24
1856,58,17
1857,73,25
1858,101,33
1859,54,24
1860,77,40
1861,90,23
1862,80,31
1863,71,31
1864,122,38
1865,71,26
1866,121,44
1867,124,44
1868,140,54
1869,153,52
1870,190,45
1871,222,65
1872,205,53
1873,205,60
1874,225,69
1875,204,92
1876,181,89
1877,186,66
1878,296,98
1879,350,138
1880,372,135
1881,406,202
1882,428,196
1883,367,210
1884,371,157
1885,212,117
1886,298,135
1887,396,172
1888,525,189
1889,404,101
1890,573,196
1891,420,169
1892,508,198
1893,249,181
1894,375,227
1895,345,266
1896,345,145
1897,184,99
1898,386,174
1899,297,192
1900,475,212
1901,369,246
1902,358,276
